2020/09/30                                                                                                                                                                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEB,Invoice Doc,Material,DistChnl Desc,Ship-to-Party,SubDiv Desc,EndCust Code,BillT,Sold-to-Party,Sold-to-Party Name,Div Desc,RefDoc,EndCust Short Name,Posting Date,Div,Doc Curr,Invoiced Quantity,   Net value,Net Value Local,,
338539,903094888,MIP2E2DMUL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095829,OMRON,2020-09-17,10,US$,"3,000.00","1,141.98","1,141.98",,
338539,903094889,MIP30100FL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095830,OMRON,2020-09-17,10,US$,"10,000.00","4,653.20","4,653.20",,
338539,903094890,MIP3610MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095831,OMRON,2020-09-17,10,US$,"2,000.00",553.52,553.52,,
334808,903094899,AN83051UA-VF,Sales Co. (B&S),29817,A-LSI,40968593,ZF2,29817,NTSG-SALES,ANALOG LSI,803095846,SUMITOMO,2020-09-15,20,US$,"9,000.00","9,669.60","9,669.60",,
334810,903094900,AN83053UA-VF,Sales Co. (B&S),29817,A-LSI,20203766,ZF2,29817,NTSG-SALES,ANALOG LSI,803095826,KEIHIN CAR,2020-09-15,20,US$,"6,000.00","3,995.04","3,995.04",,
334808,903094901,AN83051UA-VF,Sales Co. (B&S),29817,A-LSI,40968593,ZF2,29817,NTSG-SALES,ANALOG LSI,803095828,SUMITOMO,2020-09-15,20,US$,"6,000.00","6,446.40","6,446.40",,
338539,903094891,MIP3610MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095832,OMRON,2020-09-17,10,US$,"2,000.00",553.52,553.52,,
338539,903094892,MIP3610MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095833,OMRON,2020-09-17,10,US$,"2,000.00",553.52,553.52,,
338539,903094893,MIP3610MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095834,OMRON,2020-09-17,10,US$,"2,000.00",553.52,553.52,,
338539,903094894,MIP5310MFL,Sales Co. (B&S),29817,IPD,80954639,ZF2,29817,NTSG-SALES,DISCRETE,803095836,OMRON,2020-09-17,10,US$,"6,000.00","1,184.46","1,184.46",,
